CMS_Certification_Number_|CCN|,Provider_Name,City,ZIP,Phone,Type_of_Ownership,Offers_Nursing_Care_Services,Offers_Physical_Therapy_Services,Offers_Occupational_Therapy_Services,Offers_Speech_Pathology_Services,Offers_Medical_Social_Services,Offers_Home_Health_Aide_Services,Date_Certified,Quality_of_patient_care_star_rating,How_often_the_home_health_team_began_their_patients'_care_in_a_timely_manner,How_often_the_home_health_team_taught_patients_|or_their_family_caregivers|_about_their_drugs,How_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_current_flu_season,How_often_patients_got_better_at_walking_or_moving_around,How_often_patients_got_better_at_getting_in_and_out_of_bed,How_often_patients_got_better_at_bathing,How_often_patients'_breathing_improved,How_often_patients_got_better_at_taking_their_drugs_correctly_by_mouth,How_often_home_health_patients_had_to_be_admitted_to_the_hospital,Changes_in_skin_integrity_post-acute_care:_pressure_ulcer/injury,How_often_physician-recommended_actions_to_address_medication_issues_were_completely_timely,DTC_Numerator,DTC_Denominator,DTC_Observed_Rate,DTC_Risk-Standardized_Rate,DTC_Risk-Standardized_Rate_|Lower_Limit|,DTC_Risk-Standardized_Rate_|Upper_Limit|,DTC_Performance_Categorization,PPR_Numerator,PPR_Denominator,PPR_Observed_Rate,PPR_Risk-Standardized_Rate,PPR_Risk-Standardized_Rate_|Lower_Limit|,PPR_Risk-Standardized_Rate_|Upper_Limit|,PPR_Performance_Categorization
27001,PROVIDENCE IN HOME SERVICES,ANCHORAGE,99508,9075630130,VOLUNTARY NON PROFIT - RELIGIOUS AFFILIATION,Yes,Yes,Yes,Yes,Yes,Yes,5/17/1982,1.5,87.4,99.2,47.8,63.7,69.9,65.9,53,57.3,15.4,1,86.7,574,680,84.41,87.05,84.16,89.84,Better Than National Rate,13,509,2.55,3.54,2.58,4.73,Same As National Rate
27002,HOSPICE & HOME CARE OF JUNEAU,JUNEAU,99801,9074633113,VOLUNTARY NON PROFIT - RELIGIOUS AFFILIATION,Yes,No,No,Yes,Yes,Yes,12/27/1982,2.5,97.4,84.6,60.4,67.3,73.8,72.5,66.4,76.5,12.5,0,87.8,121,180,67.22,70.89,64,77.86,Worse Than National Rate,2,100,2,3.39,2.29,4.86,Same As National Rate
27006,FAIRBANKS MEMORIAL HOSPITAL HHA,FAIRBANKS,99701,9074585410,VOLUNTARY NON-PROFIT - OTHER,Yes,No,No,No,Yes,Yes,9/19/1985,2,87.9,100,55.2,68.6,65.9,62.4,79.9,48,10.9,1.2,100,282,323,87.31,91.69,87.89,95.12,Better Than National Rate,4,241,1.66,3.17,2.24,4.35,Same As National Rate
27008,ANCORA HOME HEALTH & HOSPICE,WASILLA,99654,9073524800,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,1/22/1987,3.5,99.1,99.9,57.9,80.7,81.5,84.7,81.1,79.7,10.4,0.8,99.2,477,656,72.71,80.89,77.13,84.49,Same As National Rate,16,437,3.66,3.37,2.53,4.38,Same As National Rate
27009,PETERSBURG MEDICAL CENTER HOME,PETERSBURG,99833,9077724291,GOVERNMENT - STATE/COUNTY,Yes,Yes,Yes,Yes,No,No,7/21/1987,,97.6,91.9,71.9,,,,,,15.2,0,100,26,60,43.33,50.74,38.45,64.14,Worse Than National Rate,,8,,,,,Not Available
27010,SOUTH PENINSULA HOSPITAL HHA,HOMER,99603,9072350369,GOVERNMENT - STATE/COUNTY,Yes,Yes,Yes,Yes,Yes,Yes,2/20/1990,2.5,98.9,95.5,62.2,73.4,85.3,75.2,54.6,64.6,18.4,0,91.4,146,200,73,77.64,71.78,83.05,Same As National Rate,4,114,3.51,3.58,2.58,4.96,Same As National Rate
27014,PEACEHEALTH KETCHIKAN MEDICAL CENTER HOME HEALTH,KETCHIKAN,99901,9072287600,VOLUNTARY NON PROFIT - RELIGIOUS AFFILIATION,Yes,Yes,Yes,Yes,No,Yes,3/4/1993,1.5,86.4,91.7,61.6,60.5,70.2,60.2,65.7,45.7,15.2,2.9,90.9,139,197,70.56,77.52,70.26,83.99,Same As National Rate,2,121,1.65,3.26,2.32,4.49,Same As National Rate
27020,1ST CHOICE HOME HEALTH CARE  INC,SOLDOTNA,99669,9072605959,PROPRIETARY,Yes,No,No,No,No,No,1/2/1996,3.5,98.1,95,57.1,82.7,87.2,90.8,81.4,78.6,16.1,0,94.3,324,447,72.48,78.61,74.1,83.63,Same As National Rate,7,291,2.41,3.25,2.38,4.39,Same As National Rate
27022,ENCOMPASS HEALTH HOME HEALTH,ANCHORAGE,99503,9072721275,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,5/7/1996,3.5,99.6,97.5,76.1,81.1,80,86,81.4,80.6,14.3,0,98,207,304,68.09,72.47,67.2,77.51,Worse Than National Rate,9,204,4.41,3.86,2.78,5.36,Same As National Rate
27032,MAXIM HEALTHCARE SERVICES  INC,ANCHORAGE,99503,9077700862,PROPRIETARY,Yes,No,No,No,No,Yes,8/23/2006,,,,,,,,,,13,,,112,145,77.24,82.29,74.55,88.29,Same As National Rate,1,119,0.84,3.26,2.31,4.54,Same As National Rate
